Mode	PID	Data bytes returned	Description	Min value	Max value	Units	Formula		
1	0	4	PIDs supported [01 - 20]				Bit encoded [A7..D0] == [PID 0x01..PID 0x20] See below.
1	1	4	Monitor status since DTCs cleared. (Includes malfunction indicator lamp (MIL) status and number of DTCs.)				Bit encoded. See below.
1	2	2	Freeze DTC				
1	3	2	Fuel system status				Bit encoded. See below.
1	4	1	Calculated engine load value	0	100	 %	A*100/255
1	5	1	Engine coolant temperature	-40	215	°C	A-40
1	6	1	Short term fuel % trim—Bank 1	-100 (Rich)	99.22 (Lean)	 %	(A-128) * 100/128
1	7	1	Long term fuel % trim—Bank 1	-100 (Lean)	99.22 (Rich)	 %	(A-128) * 100/128
1	8	1	Short term fuel % trim—Bank 2	-100 (Lean)	99.22 (Rich)	 %	(A-128) * 100/128
1	9	1	Long term fuel % trim—Bank 2	-100 (Lean)	99.22 (Rich)	 %	(A-128) * 100/128
1	0A	1	Fuel pressure	0	765	kPa (gauge)	A*3
1	0B	1	Intake manifold absolute pressure	0	255	kPa (absolute)	A
1	0C	2	Engine RPM	0	"16,383.75"	rpm	((A*256)+B)/4
1	0D	1	Vehicle speed	0	255	km/h	A
1	0E	1	Timing advance	-64	63.5	° relative to #1 cylinder	A/2 - 64
1	0F	1	Intake air temperature	-40	215	°C	A-40
1	10	2	MAF air flow rate	0	655.35	grams/sec	((A*256)+B) / 100
1	11	1	Throttle position	0	100	 %	A*100/255
1	12	1	Commanded secondary air status				Bit encoded. See below.
1	13	1	Oxygen sensors present				"[A0..A3] == Bank 1, Sensors 1-4. [A4..A7] == Bank 2..."
1	14	2	"Bank 1, Sensor 1:"			Volts	A/200 "Oxygen sensor voltage,"	0	1.275	%	"(B-128) * 100/128 (if B==0xFF, sensor is not used in trim calc)"
1	15	2	"Bank 1, Sensor 2:"			Volts	A/200
1	16	2	"Bank 1, Sensor 3:"			Volts	A/200
1	17	2	"Bank 1, Sensor 4:"			Volts	A/200
1	18	2	"Bank 2, Sensor 1:"			Volts	A/200
1	19	2	"Bank 2, Sensor 2:"			Volts	A/200
1	1A	2	"Bank 2, Sensor 3:"			Volts	A/200
1	1B	2	"Bank 2, Sensor 4:"			Volts	A/200
